,artist_latitude,artist_location,artist_longitude,artist_name,danceability,duration,energy,key,song_hotttnesss,tempo,time_signature,title,year
0,,b'California - LA',,b'Casual',0.0,218.93179,0.0,1,0.6021199899057548,92.198,4,"b""I Didn't Mean To""",0
1,35.14968,"b'Memphis, TN'",-90.04892,b'The Box Tops',0.0,148.03546,0.0,6,,121.274,4,b'Soul Deep',1969
2,,b'',,b'Sonora Santanera',0.0,177.47546,0.0,8,,100.07,1,b'Amor De Cabaret',0
3,,"b'London, England'",,b'Adam Ant',0.0,233.40363,0.0,0,,119.293,4,b'Something Girls',1982
4,,b'',,b'Gob',0.0,209.60608,0.0,2,0.6045007385888197,129.738,4,b'Face the Ashes',2007
5,,b'',,b'Jeff And Sheri Easter',0.0,267.7024,0.0,5,,147.782,3,b'The Moon And I (Ordinary Day Album Version)',0
6,,b'Ohio',,b'Rated R',0.0,114.78159,0.0,1,,111.787,1,b'Keepin It Real (Skit)',0
7,,"b'Burlington, Ontario, Canada'",,b'Tweeterfriendly Music',0.0,189.57016,0.0,4,,101.43,3,b'Drop of Rain',0
8,,b'',,b'Planet P Project',0.0,269.81832,0.0,4,0.26586104921065007,86.643,4,b'Pink World',1984
9,,b'',,b'Clp',0.0,266.39628,0.0,7,,114.041,4,b'Insatiable (Instrumental Version)',0
10,35.21962,b'North Carolina',-80.01955,b'JennyAnyKind',0.0,218.77506,0.0,5,0.0,146.765,1,b'Young Boy Blues',0
11,,"b'Wisner, LA'",,b'Wayne Watson',0.0,245.21098,0.0,7,0.26586104921065007,117.975,4,b'The Urgency (LP Version)',0
12,,b'',,b'Andy Andy',0.0,226.35057,0.0,9,0.0,130.04,4,b'La Culpa',0
13,,b'',,b'Bob Azzam',0.0,191.84281,0.0,10,0.0,137.334,1,b'Auguri Cha Cha',0
14,,"b'Beverly Hills, CA'",,b'Lionel Richie',0.0,307.3824,0.0,3,,125.197,3,b'Tonight Will Be Alright',1986
15,43.64856,"b'Toronto, Ontario, Canada'",-79.38533,b'Blue Rodeo',0.0,491.12771,0.0,7,0.4051157216913865,119.826,4,b'Floating',1987
16,37.16793,b'United States',-95.84502,b'Richard Souther',0.0,228.5971,0.0,8,0.3347065490692206,127.756,5,b'High Tide',0
17,,b'',,b'Faiz Ali Faiz',0.0,599.24853,0.0,6,,99.273,4,b'Sohna Nee Sohna Data',0
18,,b'',,b'Tesla',0.0,290.29832,0.0,7,0.6841361912294903,150.062,4,b'Caught In A Dream',2004
19,,b'',,b'lextrical',0.0,165.69424,0.0,7,0.0,138.331,4,b'Synthetic Dream',0
20,34.31109,"b'Mineola, AR'",-94.02978,b'Jimmy Wakely',0.0,151.84934,0.0,1,,86.186,3,b'Broken-Down Merry-Go-Round',0
21,38.8991,b'Washington',-77.029,b'Alice Stuart',0.0,220.78649,0.0,11,0.0,110.382,1,b'Kassie Jones',0
22,49.80388,b'Dubai UAE',15.47491,b'Elena',0.0,269.58322,0.0,2,0.3135621142479342,111.874,4,b'Setanta matins',0
23,40.82624,"b'Morris Plains, NJ'",-74.47995,b'The Dillinger Escape Plan',0.0,207.77751,0.0,7,0.6665278462297023,166.862,4,b'Setting Fire to Sleeping Giants',2004
24,37.83721,"b'Nevada, MO'",-94.35868,b'SUE THOMPSON',0.0,124.86485,0.0,10,0.4952936212921635,137.522,4,b'James (Hold The Ladder Steady)',1985
25,,b'',,b'Five Bolt Main',0.0,225.09669,0.0,7,0.37598430150044215,164.672,1,b'Made Like This (Live)',0
26,,b'',,b'Clp',0.0,338.31138,0.0,6,,125.006,4,b'Superconfidential',0
27,32.67828,b'Georgia',-83.22295,b'Tim Wilson',0.0,186.48771,0.0,5,,90.022,1,b'I Think My Wife Is Running Around On Me (Taco Hell)',2005
28,40.79195,"b'New York, NY [Spanish Harlem]'",-73.94512,b'Willie Bobo',0.0,168.25424,0.0,8,,127.025,4,b'Spanish Grease',1997
29,40.73197,"b'Newark, NJ'",-74.17418,b'Faye Adams',0.0,156.39465,0.0,8,0.0,95.957,3,b'Crazy Mixed Up World',1961
30,41.88415,b'Chicago',-87.63241,b'Terry Callier',0.0,342.56934,0.0,6,0.4137398358601097,110.189,3,b'Do You Finally Need A Friend',1972
31,27.94017,b'Brandon',-82.32547,b'John Wesley',0.0,484.62322,0.0,4,0.3775316449767025,138.007,4,b'The Emperor Falls',0
32,40.7038,"b'Queens, NY'",-73.83168,b'The Shangri-Las',0.0,164.80608,0.0,10,0.4432913119053975,130.1,1,b'Twist and Shout',1964
33,30.08615,"b'Beaumont, TX'",-94.10158,b'Billie Jo Spears',0.0,133.32853,0.0,4,0.0,160.839,1,b'It Makes No Difference Now',1992
34,,"b'Houston, TX'",,"b""Mike Jones (Featuring CJ_ Mello & Lil' Bran)""",0.0,173.66159,0.0,7,,41.993,1,b'Laws Patrolling (Album Version)',0
35,,b'',,b'Sierra Maestra',0.0,313.12934,0.0,9,,189.646,3,b'\xc2\xbfD\xc3\xb3nde va Chichi?',1997
36,29.42449,"b'San Antonio, TX'",-98.49462,b'Butthole Surfers',0.0,450.84689,0.0,4,0.593943075901947,130.586,4,"b'Barking Dogs (From ""Piouhgd"")'",0
37,,b'',,b'Despina Vandi',0.0,303.09832,0.0,8,,128.292,4,b'OUTE ENA EFHARISTO',0
38,,b'',,b'Javier Navarrete',0.0,128.83546,0.0,3,0.3943948561005826,90.932,3,b'Midnight Swim',0
39,,b'',,b'Jacob Young',0.0,456.30649,0.0,1,0.0,89.667,4,b'In A Subtle Way',0
40,34.05349,b'California - LA',-118.24532,"b""Scarlet's Remains""",0.0,198.73914,0.0,7,0.450992311636255,115.061,4,b'Spin',2007
41,42.33168,"b'Detroit, MI'",-83.04792,b'The Suicide Machines',0.0,95.68608,0.0,2,0.5287824809425877,115.887,4,b'Burning In The Aftermath',2003
42,51.50632,"b'London, England'",-0.12714,b'The Rolling Stones',0.0,271.49016,0.0,9,0.8344926198909054,139.333,1,b'Angie (1993 Digital Remaster)',0
43,,b'',,b'Roberto Torres',0.0,226.66404,0.0,0,0.0,117.271,4,b'Sabor Guajiro',0
44,35.91463,"b'Chapel Hill, NC'",-79.05661,b'Loudon Wainwright III',0.0,190.48444,0.0,3,0.5101193140330347,102.428,4,b'Human Cannonball',1995
45,34.36401,"b'Oxford, MS'",-89.51877,b'R.L. Burnside',0.0,277.78567,0.0,2,0.48213758506501503,89.984,4,b'Glory Be',2004
